,index,track,start,end,nframes,x_first,x_std,x_last,x_nth,y_first,y_std,y_last,y_nth,conf_min,conf_mean,conf_max,mindim_mean,mindim_std,maxdim_mean,maxdim_std,x_dist,y_dist,dur_s,detect_dens,init_move,init_dir,ledge,Unnamed: 0,RandFor,KNear,NaBayes,DecTree,SVM,LogReg,multi
601,179,FAR3_2023-06-14_06-0121,2023-06-14 06:55:14.916838,2023-06-14 06:55:16.156837,21,1234.025146484375,3.9796166331085705,1229.9827880859375,1224.8099365234375,1299.86669921875,12.520901867509027,1271.4429931640625,1270.2808837890625,0.1078585162758827,0.5166680262911887,0.7110424041748047,35.98298572358631,1.7840236528674616,64.79109119233631,8.803318530204011,48.3187255859375,36.326171875,1.239999,16.93549752862704,30.987748696278288,355.32291615667083,FAR3,601,0,0,0,0,1,1,2
603,181,FAR3_2023-06-14_06-0125,2023-06-14 06:57:54.556686,2023-06-14 06:58:01.716679,101,696.14990234375,2.9685009952897743,701.8912963867188,694.9459838867188,1219.097412109375,1.3928024182549172,1221.832275390625,1218.551025390625,0.1004956662654876,0.44133583412016975,0.8016819357872009,39.71869077776918,2.467247159405303,120.53364306157178,11.248134460029794,605.1264038085938,30.828857421875,7.159993,14.106159042334259,1.3221036637143464,322.45195002766803,FAR3,603,0,0,0,1,0,0,1
605,183,FAR3_2023-06-14_07-0001,2023-06-14 07:00:02.759997,2023-06-14 07:00:10.639990,198,701.7225341796875,0.46634990787944786,701.1119384765625,701.8724365234375,1221.8187255859375,0.3892911388689073,1221.1947021484375,1221.8074951171875,0.1244765147566795,0.42695247588886154,0.652898371219635,39.28988431680082,0.5441493837503597,109.4428544477983,1.493766206266962,14.2972412109375,6.78125,7.879993,25.12692587417273,0.1503224404075715,322.96747190712233,FAR3,605,0,0,0,1,0,0,1
606,184,FAR3_2023-06-14_07-0003,2023-06-14 07:00:10.799989,2023-06-14 07:00:11.599988,18,1066.862060546875,56.64288895678838,910.8743286132812,879.76123046875,820.0052490234375,28.610021840850358,887.993896484375,859.3623046875,0.1050456091761589,0.3237893920805719,0.6366322636604309,64.81352064344618,11.98743070861899,94.41713121202257,14.553199067254623,684.165954589844,155.524169921875,0.799999,22.500028125035154,191.19544567396872,292.1498301276862,FAR3,606,1,0,1,1,0,0,3
607,185,FAR3_2023-06-14_07-0005,2023-06-14 07:02:47.199840,2023-06-14 07:02:47.439840,7,1454.219482421875,10.250244310816019,1431.1171875,1431.1171875,1266.3345947265625,3.6006369603834014,1257.05859375,1257.05859375,0.2348520755767822,0.5649123276982989,0.6858702301979065,60.455165318080354,14.225475336899432,77.75577218191964,14.673418865476084,777.4893188476562,54.4522705078125,0.24,29.166666666666668,24.894983927981954,9.057231934012375,FAR3,607,1,0,0,1,1,1,4
611,189,FAR3_2023-06-14_07-0016,2023-06-14 07:10:04.839422,2023-06-14 07:10:14.759413,28,523.5125732421875,14.497731025984406,560.3181762695312,549.2061767578125,610.6221923828125,14.05617093577242,641.7369995117188,606.2171630859375,0.1434568613767624,0.56250224635005,0.7442184090614319,60.70654514857701,11.046751824380262,92.93491036551339,13.12115336410917,333.0814208984375,156.13824462890625,9.919991,2.8225832059726668,26.068477990179336,250.6510325666958,FAR3,611,1,0,0,1,0,0,2
612,190,FAR3_2023-06-14_07-0022,2023-06-14 07:10:45.599384,2023-06-14 07:11:50.359322,23,1298.685791015625,20.7252515280628,1242.7216796875,1220.6712646484375,1166.51611328125,75.9112259028684,1331.93701171875,1312.2724609375,0.1001361235976219,0.3472494538063588,0.6867873668670654,54.37650730298913,8.824915355138463,87.59383491847827,8.970203836103273,207.4422607421875,306.607177734375,64.759938,0.35515784465389694,165.3214420648036,355.4268558517869,FAR3,612,1,0,1,1,1,1,5
613,191,FAR3_2023-06-14_07-0023,2023-06-14 07:13:07.199249,2023-06-14 07:13:07.799248,13,1247.07421875,6.015319334359952,1268.4022216796875,1269.1881103515625,1148.546142578125,44.15818887649982,1315.6292724609375,1304.769287109375,0.1542217433452606,0.473891732784418,0.7786105275154114,45.42922738882211,5.932527339376098,114.20348182091347,2.733517458034312,28.3189697265625,363.2774658203125,0.599999,21.666702777837965,157.78052823145663,358.346799662383,FAR3,613,1,0,1,1,0,1,4
614,192,FAR3_2023-06-14_07-0024,2023-06-14 07:14:12.879186,2023-06-14 07:14:13.719185,18,1633.8812255859375,8.831561133066673,1671.4715576171875,1658.30224609375,890.8117065429688,30.08239800355138,984.0980834960938,987.3935546875,0.1372934281826019,0.4760364078813129,0.7553842067718506,63.75587293836806,10.691675079425744,121.48526340060764,10.691507647942634,422.156982421875,580.4042358398435,0.839999,21.428596938805878,99.62148178809775,43.05564719498339,FAR3,614,1,0,0,1,0,0,2
615,193,FAR3_2023-06-14_07-0026,2023-06-14 07:14:28.879171,2023-06-14 07:14:29.719170,9,1407.413818359375,11.876466437524378,1408.726318359375,1408.726318359375,1194.914306640625,12.224893718855395,1215.6500244140625,1215.6500244140625,0.1032198444008827,0.43126165452930665,0.764071524143219,60.763387044270836,13.642311373200563,95.35719129774306,12.884898992915444,1089.8327941894531,216.0836181640625,0.839999,10.714298469402939,20.77721463116873,8.254782147166322,FAR3,615,1,0,0,1,0,0,2
616,194,FAR3_2023-06-14_07-0027,2023-06-14 07:15:30.119112,2023-06-14 07:15:30.319112,6,1392.828125,4.468967041667048,1384.236083984375,1384.236083984375,1326.9588623046875,4.861087101884628,1324.573974609375,1324.573974609375,0.2372635304927826,0.48351233700911206,0.6132096648216248,53.312479654947914,1.2775827992976454,78.53641764322917,1.8492553705162673,31.224609375,132.6546630859375,0.2,30.0,8.916886123161788,5.236546987700131,FAR3,616,0,0,0,1,0,0,1
617,195,FAR3_2023-06-14_07-0028,2023-06-14 07:15:53.119090,2023-06-14 07:15:58.759085,16,1479.19775390625,8.305364421838226,1463.4456787109375,1469.8907470703125,1188.3515625,11.516386283658846,1209.8408203125,1220.8082275390625,0.1018801853060722,0.46247020876035094,0.7161176800727844,53.23212432861328,5.953563508492846,75.30169677734375,7.204893575117723,143.4129638671875,191.173583984375,5.639995,2.836881947590379,33.764707635371124,12.477983702193114,FAR3,617,1,0,0,1,0,0,2
618,196,FAR3_2023-06-14_07-0031,2023-06-14 07:17:48.758980,2023-06-14 07:18:21.438949,69,1352.68701171875,51.41263529067421,1355.753173828125,1397.082763671875,1307.911376953125,61.049460789865705,1205.2720947265625,1297.4483642578125,0.1134027689695358,0.47818980225618335,0.7960745096206665,59.15125573199728,12.493810976803838,89.05785425158514,24.400697414082124,1526.1334228515625,1933.802490234375,32.679969,2.1113851117790228,45.612031594149286,6.293899338545182,FAR3,618,1,1,1,1,1,1,6
619,197,FAR3_2023-06-14_07-0044,2023-06-14 07:18:44.758927,2023-06-14 07:18:45.638926,7,1307.97314453125,9.090876812789526,1281.6597900390625,1281.6597900390625,1203.16455078125,28.331811712211053,1276.669189453125,1276.669189453125,0.2435698211193084,0.5087744891643524,0.6880177855491638,52.137869698660715,2.87494169298522,66.78036063058036,3.4696572650276227,32.6749267578125,78.453857421875,0.879999,7.954554493811925,78.07255939774502,359.06752794906686,FAR3,619,1,0,0,1,1,1,4
620,198,FAR3_2023-06-14_07-0046,2023-06-14 07:18:58.158914,2023-06-14 07:19:15.998897,82,1595.2845458984375,22.896618878801323,1635.755859375,1603.1551513671875,984.7745971679688,86.62360838910189,1135.555419921875,952.9219970703124,0.1021009683609008,0.4545033038025949,0.7532579302787781,48.8983466915968,13.503259497709406,96.2903710342035,16.075006472857286,292.2421875,522.1495971679685,17.839983,4.596416936047529,32.810586148771186,43.034796964245565,FAR3,620,1,1,1,1,1,1,6
621,199,FAR3_2023-06-14_07-0051,2023-06-14 07:19:53.358861,2023-06-14 07:19:53.918861,10,739.3154296875,22.63719653788302,781.7061767578125,781.7061767578125,1053.99365234375,43.54198072087488,1142.2518310546875,1142.2518310546875,0.1195670515298843,0.3993598192930221,0.7301313281059265,64.072509765625,20.05450604983356,98.77178955078125,14.608263685844852,519.08642578125,300.8863525390625,0.56,17.857142857142854,97.91057933926747,321.72698852978465,FAR3,621,1,0,1,1,0,0,3
622,200,FAR3_2023-06-14_07-0052,2023-06-14 07:20:19.038837,2023-06-14 07:20:22.518834,36,767.0355834960938,10.237688015507825,752.6712036132812,779.84228515625,1091.04736328125,11.629521184551079,1061.4549560546875,1090.768310546875,0.1355334669351577,0.478581032405297,0.7440130710601807,40.77888658311632,10.222076760847202,102.04153103298611,15.208485784680242,126.55584716796875,107.50341796875,3.479997,10.3448365041694,12.809741521233402,317.53846248664007,FAR3,622,0,0,0,1,0,0,1
623,201,FAR3_2023-06-14_07-0053,2023-06-14 07:20:34.718822,2023-06-14 07:20:34.758822,2,1050.6387939453125,0.45868718691715255,1051.2874755859375,1051.2874755859375,1219.6580810546875,3.0028732679075687,1223.90478515625,1223.90478515625,0.6136122941970825,0.6409066319465637,0.6682009696960449,38.13677978515625,0.8654980096383682,40.7628173828125,0.9840109015535451,298.61627197265625,162.4498291015625,0.04,50.0,4.295961312338799,342.8110754522786,FAR3,623,0,0,0,1,0,0,1
